time,id,x,y,angle,speed,lane
0.0,carflow1_1.0,5.1,-4.8,90.0,0.0,1
0.0,carflow2_1.0,5.1,-1.6,90.0,0.0,2
0.1,carflow1_1.0,5.13,-4.8,90.0,0.25,1
0.1,carflow2_1.0,5.12,-1.6,90.0,0.25,2
0.2,carflow1_1.0,5.18,-4.8,90.0,0.5,1
0.2,carflow2_1.0,5.18,-1.6,90.0,0.51,2
0.3,carflow1_1.0,5.25,-4.8,90.0,0.76,1
0.3,carflow2_1.0,5.25,-1.6,90.0,0.76,2
0.4,carflow1_1.0,5.35,-4.8,90.0,0.99,1
0.4,carflow2_1.0,5.35,-1.6,90.0,1.01,2
0.5,carflow1_1.0,5.47,-4.8,90.0,1.19,1
0.5,carflow2_1.0,5.48,-1.6,90.0,1.24,2
0.6,carflow1_1.0,5.61,-4.8,90.0,1.4,1
0.6,carflow2_1.0,5.63,-1.6,90.0,1.49,2
0.7,carflow1_1.0,5.77,-4.8,90.0,1.6,1
0.7,carflow2_1.0,5.79,-1.6,90.0,1.68,2
0.8,carflow1_1.0,5.95,-4.8,90.0,1.77,1
0.8,carflow2_1.0,5.98,-1.6,90.0,1.84,2
0.9,carflow1_1.0,6.14,-4.8,90.0,1.97,1
0.9,carflow2_1.0,6.18,-1.6,90.0,2.05,2
1.0,carflow1_1.0,6.36,-4.8,90.0,2.18,1
1.0,carflow2_1.0,6.4,-1.6,90.0,2.2,2
1.1,carflow1_1.0,6.59,-4.8,90.0,2.33,1
1.1,carflow2_1.0,6.65,-1.6,90.0,2.45,2
1.2,carflow1_1.0,6.85,-4.8,90.0,2.53,1
1.2,carflow2_1.0,6.91,-1.6,90.0,2.64,2
1.3,carflow1_1.0,7.12,-4.8,90.0,2.71,1
1.3,carflow2_1.0,7.19,-1.6,90.0,2.84,2
1.4,carflow1_1.0,7.4,-4.8,90.0,2.85,1
1.4,carflow2_1.0,7.5,-1.6,90.0,3.01,2
1.5,carflow1_1.0,7.71,-4.8,90.0,3.03,1
1.5,carflow2_1.0,7.81,-1.6,90.0,3.18,2
1.6,carflow1_1.0,8.02,-4.8,90.0,3.19,1
1.6,carflow2_1.0,8.16,-1.6,90.0,3.44,2
1.7,carflow1_1.0,8.36,-4.8,90.0,3.33,1
1.7,carflow2_1.0,8.52,-1.6,90.0,3.66,2
1.8,carflow1_1.0,8.71,-4.8,90.0,3.58,1
1.8,carflow2_1.0,8.91,-1.6,90.0,3.84,2
1.9,carflow1_1.0,9.09,-4.8,90.0,3.75,1
1.9,carflow2_1.0,9.31,-1.6,90.0,4.02,2
2.0,carflow1_1.0,9.49,-4.8,90.0,4.01,1
2.0,carflow2_1.0,9.73,-1.6,90.0,4.24,2
2.1,carflow1_1.0,9.91,-4.8,90.0,4.22,1
2.1,carflow2_1.0,10.18,-1.6,90.0,4.47,2
2.2,carflow1_1.0,10.36,-4.8,90.0,4.44,1
2.2,carflow2_1.0,10.65,-1.6,90.0,4.63,2
2.3,carflow1_1.0,10.82,-4.8,90.0,4.66,1
2.3,carflow2_1.0,11.13,-1.6,90.0,4.86,2
2.4,carflow1_1.0,11.31,-4.8,90.0,4.87,1
2.4,carflow2_1.0,11.64,-1.6,90.0,5.09,2
2.5,carflow1_1.0,11.81,-4.8,90.0,5.04,1
2.5,carflow2_1.0,12.16,-1.6,90.0,5.25,2
2.6,carflow1_1.0,12.33,-4.8,90.0,5.19,1
2.6,carflow2_1.0,12.71,-1.6,90.0,5.5,2
2.6,carflow2_2.0,5.1,-1.6,90.0,0.0,2
2.7,carflow1_1.0,12.87,-4.8,90.0,5.35,1
2.7,carflow1_2.0,5.1,-4.8,90.0,0.0,1
2.7,carflow2_1.0,13.29,-1.6,90.0,5.71,2
2.7,carflow2_2.0,5.13,-1.6,90.0,0.25,2
2.8,carflow1_1.0,13.42,-4.8,90.0,5.57,1
2.8,carflow1_2.0,5.13,-4.8,90.0,0.25,1
2.8,carflow2_1.0,13.88,-1.6,90.0,5.9,2
2.8,carflow2_2.0,5.18,-1.6,90.0,0.5,2
2.9,carflow1_1.0,14.0,-4.8,90.0,5.78,1
2.9,carflow1_2.0,5.18,-4.8,90.0,0.51,1
2.9,carflow2_1.0,14.49,-1.6,90.0,6.16,2
2.9,carflow2_2.0,5.25,-1.6,90.0,0.74,2
3.0,carflow1_1.0,14.59,-4.8,90.0,5.92,1
3.0,carflow1_2.0,5.25,-4.8,90.0,0.73,1
3.0,carflow2_1.0,15.13,-1.6,90.0,6.4,2
3.0,carflow2_2.0,5.35,-1.6,90.0,0.96,2
3.1,carflow1_1.0,15.2,-4.8,90.0,6.08,1
3.1,carflow1_2.0,5.35,-4.8,90.0,0.98,1
3.1,carflow2_1.0,15.8,-1.6,90.0,6.63,2
3.1,carflow2_2.0,5.46,-1.6,90.0,1.19,2
3.2,carflow1_1.0,15.83,-4.8,90.0,6.31,1
3.2,carflow1_2.0,5.47,-4.8,90.0,1.22,1
3.2,carflow2_1.0,16.48,-1.6,90.0,6.79,2
3.2,carflow2_2.0,5.6,-1.6,90.0,1.39,2
3.3,carflow1_1.0,16.48,-4.8,90.0,6.48,1
3.3,carflow1_2.0,5.61,-4.8,90.0,1.43,1
3.3,carflow2_1.0,17.18,-1.6,90.0,7.03,2
3.3,carflow2_2.0,5.76,-1.6,90.0,1.6,2
3.4,carflow1_1.0,17.15,-4.8,90.0,6.7,1
3.4,carflow1_2.0,5.78,-4.8,90.0,1.67,1
3.4,carflow2_1.0,17.9,-1.6,90.0,7.27,2
3.4,carflow2_2.0,5.95,-1.6,90.0,1.85,2
3.5,carflow1_1.0,17.84,-4.8,90.0,6.86,1
3.5,carflow1_2.0,5.97,-4.8,90.0,1.9,1
3.5,carflow2_1.0,18.66,-1.6,90.0,7.53,2
3.5,carflow2_2.0,6.15,-1.6,90.0,2.01,2
3.6,carflow1_1.0,18.54,-4.8,90.0,7.03,1
3.6,carflow1_2.0,6.17,-4.8,90.0,2.06,1
3.6,carflow2_1.0,19.43,-1.6,90.0,7.73,2
3.6,carflow2_2.0,6.38,-1.6,90.0,2.26,2
3.7,carflow1_1.0,19.27,-4.8,90.0,7.28,1
3.7,carflow1_2.0,6.4,-4.8,90.0,2.29,1
3.7,carflow2_1.0,20.23,-1.6,90.0,7.96,2
3.7,carflow2_2.0,6.62,-1.6,90.0,2.47,2
3.8,carflow1_1.0,20.02,-4.8,90.0,7.51,1
3.8,carflow1_2.0,6.65,-4.8,90.0,2.51,1
3.8,carflow2_1.0,21.04,-1.6,90.0,8.14,2
3.8,carflow2_2.0,6.89,-1.6,90.0,2.63,2
3.9,carflow1_1.0,20.78,-4.8,90.0,7.65,1
