time,id,x,y,angle,speed,lane
10.0,carflow0_0.0,45.5,-8.0,90.0,12.45,0
10.0,carflow0_1.0,78.45,-8.0,90.0,12.24,0
10.0,carflow1_0.0,67.23,-4.8,90.0,11.8,1
10.0,carflow1_1.0,35.37,-4.8,90.0,10.67,1
10.0,carflow2_0.0,939.8,4.8,270.0,13.03,4
10.0,carflow2_1.0,899.0,4.8,270.0,14.62,4
10.0,carflow3_0.0,938.7,8.0,270.0,15.02,5
10.0,carflow3_1.0,902.74,8.0,270.0,14.0,5
10.0,carflowV2I_0.0,13.85,-1.6,90.0,5.97,2
10.0,carflowV2I_1.0,98.95,-1.6,90.0,14.23,2
10.0,carflowV2I_2.0,912.26,1.6,270.0,11.45,3
10.0,carflowV2I_3.0,971.2,4.8,270.0,9.56,4
10.1,carflow0_0.0,46.77,-8.0,90.0,12.66,0
10.1,carflow0_1.0,79.68,-8.0,90.0,12.26,0
10.1,carflow1_0.0,68.41,-4.8,90.0,11.83,1
10.1,carflow1_1.0,36.46,-4.8,90.0,10.92,1
10.1,carflow2_0.0,938.51,4.8,270.0,12.91,4
10.1,carflow2_1.0,897.53,4.8,270.0,14.64,4
10.1,carflow3_0.0,937.21,8.0,270.0,14.92,5
10.1,carflow3_1.0,901.35,8.0,270.0,13.94,5
10.1,carflowV2I_0.0,14.46,-1.6,90.0,6.14,2
10.1,carflowV2I_1.0,100.37,-1.6,90.0,14.24,2
10.1,carflowV2I_2.0,911.12,1.6,270.0,11.41,3
10.1,carflowV2I_3.0,970.22,4.8,270.0,9.78,4
10.2,carflow0_0.0,48.05,-8.0,90.0,12.83,0
10.2,carflow0_1.0,80.9,-8.0,90.0,12.21,0
10.2,carflow1_0.0,69.59,-4.8,90.0,11.81,1
10.2,carflow1_1.0,37.57,-4.8,90.0,11.06,1
10.2,carflow2_0.0,937.21,4.8,270.0,12.95,4
10.2,carflow2_1.0,896.07,4.8,270.0,14.63,4
10.2,carflow3_0.0,935.71,8.0,270.0,14.94,5
10.2,carflow3_1.0,899.95,8.0,270.0,13.93,5
10.2,carflowV2I_0.0,15.09,-1.6,90.0,6.34,2
10.2,carflowV2I_1.0,101.79,-1.6,90.0,14.21,2
