time,id,x,y,angle,speed,lane
0.8,carflow0_0.0,253.16,18.4,90.0,0.8,5
0.8,carflow0_1.0,228.96,18.4,90.0,0.8,5
0.8,carflow1_0.0,748.34,8.0,270.0,0.8,0
0.8,carflow1_1.0,754.4,8.0,270.0,0.0,0
0.8,carflow2_0.0,987.84,4.8,270.0,0.8,1
0.8,carflow2_1.0,996.74,4.8,270.0,0.8,1
0.8,carflow3_0.0,919.34,1.6,270.0,0.8,2
0.8,carflow3_1.0,969.24,1.6,270.0,0.8,2
0.8,carflowV2I_0.0,132.86,12.0,90.0,0.8,3
0.8,carflowV2I_1.0,95.06,12.0,90.0,0.8,3
0.8,carflowV2I_2.0,377.26,15.2,90.0,0.8,4
0.8,carflowV2I_3.0,798.14,4.8,270.0,0.8,1
0.9,carflow0_0.0,253.25,18.4,90.0,0.9,5
0.9,carflow0_1.0,229.05,18.4,90.0,0.9,5
0.9,carflow1_0.0,748.25,8.0,270.0,0.9,0
0.9,carflow1_1.0,754.39,8.0,270.0,0.1,0
0.9,carflow2_0.0,987.75,4.8,270.0,0.9,1
0.9,carflow2_1.0,996.65,4.8,270.0,0.9,1
0.9,carflow3_0.0,919.25,1.6,270.0,0.9,2
0.9,carflow3_1.0,969.15,1.6,270.0,0.9,2
0.9,carflowV2I_0.0,132.95,12.0,90.0,0.9,3
0.9,carflowV2I_1.0,95.15,12.0,90.0,0.9,3
0.9,carflowV2I_2.0,377.35,15.2,90.0,0.9,4
0.9,carflowV2I_3.0,798.05,4.8,270.0,0.9,1
1.0,carflow0_0.0,253.35,18.4,90.0,1.0,5
1.0,carflow0_1.0,229.15,18.4,90.0,1.0,5
1.0,carflow1_0.0,748.15,8.0,270.0,1.0,0
1.0,carflow1_1.0,754.37,8.0,270.0,0.2,0
1.0,carflow2_0.0,987.65,4.8,270.0,1.0,1
1.0,carflow2_1.0,996.55,4.8,270.0,1.0,1
1.0,carflow3_0.0,919.15,1.6,270.0,1.0,2
1.0,carflow3_1.0,969.05,1.6,270.0,1.0,2
1.0,carflowV2I_0.0,133.05,12.0,90.0,1.0,3
1.0,carflowV2I_1.0,95.25,12.0,90.0,1.0,3
1.0,carflowV2I_2.0,377.45,15.2,90.0,1.0,4
1.0,carflowV2I_3.0,797.95,4.8,270.0,1.0,1
1.1,carflow0_0.0,253.46,18.4,90.0,1.1,5
1.1,carflow0_1.0,229.26,18.4,90.0,1.1,5
1.1,carflow1_0.0,748.04,8.0,270.0,1.1,0
1.1,carflow1_1.0,754.34,8.0,270.0,0.3,0
1.1,carflow2_0.0,987.54,4.8,270.0,1.1,1
1.1,carflow2_1.0,996.44,4.8,270.0,1.1,1
1.1,carflow3_0.0,919.04,1.6,270.0,1.1,2
1.1,carflow3_1.0,968.94,1.6,270.0,1.1,2
1.1,carflowV2I_0.0,133.16,12.0,90.0,1.1,3
1.1,carflowV2I_1.0,95.36,12.0,90.0,1.1,3
1.1,carflowV2I_2.0,377.56,15.2,90.0,1.1,4
1.1,carflowV2I_3.0,797.84,4.8,270.0,1.1,1
1.2,carflow0_0.0,253.58,18.4,90.0,1.2,5
1.2,carflow0_1.0,229.38,18.4,90.0,1.2,5
1.2,carflow1_0.0,747.92,8.0,270.0,1.2,0
1.2,carflow1_1.0,754.3,8.0,270.0,0.4,0
1.2,carflow2_0.0,987.42,4.8,270.0,1.2,1
1.2,carflow2_1.0,996.32,4.8,270.0,1.2,1
1.2,carflow3_0.0,918.92,1.6,270.0,1.2,2
1.2,carflow3_1.0,968.82,1.6,270.0,1.2,2
1.2,carflowV2I_0.0,133.28,12.0,90.0,1.2,3
1.2,carflowV2I_1.0,95.48,12.0,90.0,1.2,3
1.2,carflowV2I_2.0,377.68,15.2,90.0,1.2,4
1.2,carflowV2I_3.0,797.72,4.8,270.0,1.2,1
1.3,carflow0_0.0,253.71,18.4,90.0,1.3,5
1.3,carflow0_1.0,229.51,18.4,90.0,1.3,5
1.3,carflow1_0.0,747.79,8.0,270.0,1.3,0
1.3,carflow1_1.0,754.25,8.0,270.0,0.5,0
1.3,carflow2_0.0,987.29,4.8,270.0,1.3,1
1.3,carflow2_1.0,996.19,4.8,270.0,1.3,1
1.3,carflow3_0.0,918.79,1.6,270.0,1.3,2
1.3,carflow3_1.0,968.69,1.6,270.0,1.3,2
1.3,carflowV2I_0.0,133.41,12.0,90.0,1.3,3
1.3,carflowV2I_1.0,95.61,12.0,90.0,1.3,3
1.3,carflowV2I_2.0,377.81,15.2,90.0,1.3,4
1.3,carflowV2I_3.0,797.59,4.8,270.0,1.3,1
1.4,carflow0_0.0,253.85,18.4,90.0,1.4,5
1.4,carflow0_1.0,229.65,18.4,90.0,1.4,5
1.4,carflow1_0.0,747.65,8.0,270.0,1.4,0
1.4,carflow1_1.0,754.19,8.0,270.0,0.6,0
1.4,carflow2_0.0,987.15,4.8,270.0,1.4,1
1.4,carflow2_1.0,996.05,4.8,270.0,1.4,1
1.4,carflow3_0.0,918.65,1.6,270.0,1.4,2
1.4,carflow3_1.0,968.55,1.6,270.0,1.4,2
1.4,carflowV2I_0.0,133.55,12.0,90.0,1.4,3
1.4,carflowV2I_1.0,95.75,12.0,90.0,1.4,3
1.4,carflowV2I_2.0,377.95,15.2,90.0,1.4,4
1.4,carflowV2I_3.0,797.45,4.8,270.0,1.4,1
1.5,carflow0_0.0,254.0,18.4,90.0,1.5,5
1.5,carflow0_1.0,229.8,18.4,90.0,1.5,5
1.5,carflow1_0.0,747.5,8.0,270.0,1.5,0
1.5,carflow1_1.0,754.12,8.0,270.0,0.7,0
1.5,carflow2_0.0,987.0,4.8,270.0,1.5,1
1.5,carflow2_1.0,995.9,4.8,270.0,1.5,1
1.5,carflow3_0.0,918.5,1.6,270.0,1.5,2
1.5,carflow3_1.0,968.4,1.6,270.0,1.5,2
1.5,carflowV2I_0.0,133.7,12.0,90.0,1.5,3
1.5,carflowV2I_1.0,95.9,12.0,90.0,1.5,3
1.5,carflowV2I_2.0,378.1,15.2,90.0,1.5,4
1.5,carflowV2I_3.0,797.3,4.8,270.0,1.5,1
1.6,carflow0_0.0,254.16,18.4,90.0,1.6,5
1.6,carflow0_1.0,229.96,18.4,90.0,1.6,5
1.6,carflow1_0.0,747.34,8.0,270.0,1.6,0
1.6,carflow1_1.0,754.04,8.0,270.0,0.8,0
1.6,carflow2_0.0,986.84,4.8,270.0,1.6,1
1.6,carflow2_1.0,995.74,4.8,270.0,1.6,1
1.6,carflow3_0.0,918.34,1.6,270.0,1.6,2
1.6,carflow3_1.0,968.24,1.6,270.0,1.6,2
1.6,carflowV2I_0.0,133.86,12.0,90.0,1.6,3
1.6,carflowV2I_1.0,96.06,12.0,90.0,1.6,3
1.6,carflowV2I_2.0,378.26,15.2,90.0,1.6,4
1.6,carflowV2I_3.0,797.14,4.8,270.0,1.6,1
