time,id,x,y,angle,speed,lane
3.9,carflow0_0.0,330.6,15.2,90.0,3.9,4
3.9,carflow0_1.0,316.8,15.2,90.0,3.9,4
3.9,carflow1_0.0,261.3,18.4,90.0,3.9,5
3.9,carflow1_1.0,228.7,18.4,90.0,3.9,5
3.9,carflow2_0.0,594.5,8.0,270.0,3.9,0
3.9,carflow2_1.0,605.6,8.0,270.0,3.9,0
3.9,carflow3_0.0,952.7,8.0,270.0,3.9,0
3.9,carflow3_1.0,961.3,8.0,270.0,3.9,0
3.9,carflow4_0.0,749.1,8.0,270.0,3.9,0
3.9,carflow4_1.0,775.6,8.0,270.0,3.9,0
3.9,carflow5_0.0,646.9,4.8,270.0,3.9,1
3.9,carflow5_1.0,658.1,4.8,270.0,3.9,1
3.9,carflow6_0.0,683.8,4.8,270.0,3.9,1
3.9,carflow6_1.0,696.6,4.8,270.0,3.9,1
3.9,carflow7_0.0,673.3,4.8,270.0,3.9,1
3.9,carflow7_1.0,702.8,4.8,270.0,0.0,1
3.9,carflowV2I_0.0,646.5,8.0,270.0,3.9,0
3.9,carflowV2I_1.0,899.6,8.0,270.0,3.9,0
3.9,carflowV2I_2.0,881.7,4.8,270.0,0.0,1
3.9,carflowV2I_3.0,741.3,1.6,270.0,3.9,2
4.0,carflow0_0.0,331.0,15.2,90.0,4.0,4
4.0,carflow0_1.0,317.2,15.2,90.0,4.0,4
4.0,carflow1_0.0,261.7,18.4,90.0,4.0,5
4.0,carflow1_1.0,229.1,18.4,90.0,4.0,5
4.0,carflow2_0.0,594.1,8.0,270.0,4.0,0
4.0,carflow2_1.0,605.2,8.0,270.0,4.0,0
4.0,carflow3_0.0,952.3,8.0,270.0,4.0,0
4.0,carflow3_1.0,960.9,8.0,270.0,4.0,0
4.0,carflow4_0.0,748.7,8.0,270.0,4.0,0
4.0,carflow4_1.0,775.2,8.0,270.0,4.0,0
4.0,carflow5_0.0,646.5,4.8,270.0,4.0,1
4.0,carflow5_1.0,657.7,4.8,270.0,4.0,1
4.0,carflow6_0.0,683.4,4.8,270.0,4.0,1
4.0,carflow6_1.0,696.2,4.8,270.0,4.0,1
4.0,carflow7_0.0,672.9,4.8,270.0,4.0,1
4.0,carflow7_1.0,702.79,4.8,270.0,0.1,1
4.0,carflowV2I_0.0,646.1,8.0,270.0,4.0,0
4.0,carflowV2I_1.0,899.2,8.0,270.0,4.0,0
4.0,carflowV2I_2.0,881.69,4.8,270.0,0.1,1
4.0,carflowV2I_3.0,740.9,1.6,270.0,4.0,2
4.1,carflow0_0.0,331.41,15.2,90.0,4.1,4
4.1,carflow0_1.0,317.61,15.2,90.0,4.1,4
4.1,carflow1_0.0,262.11,18.4,90.0,4.1,5
4.1,carflow1_1.0,229.51,18.4,90.0,4.1,5
4.1,carflow2_0.0,593.69,8.0,270.0,4.1,0
4.1,carflow2_1.0,604.79,8.0,270.0,4.1,0
4.1,carflow3_0.0,951.89,8.0,270.0,4.1,0
4.1,carflow3_1.0,960.49,8.0,270.0,4.1,0
4.1,carflow4_0.0,748.29,8.0,270.0,4.1,0
4.1,carflow4_1.0,774.79,8.0,270.0,4.1,0
4.1,carflow5_0.0,646.09,4.8,270.0,4.1,1
4.1,carflow5_1.0,657.29,4.8,270.0,4.1,1
4.1,carflow6_0.0,682.99,4.8,270.0,4.1,1
4.1,carflow6_1.0,695.79,4.8,270.0,4.1,1
4.1,carflow7_0.0,672.49,4.8,270.0,4.1,1
4.1,carflow7_1.0,702.77,4.8,270.0,0.2,1
4.1,carflowV2I_0.0,645.69,8.0,270.0,4.1,0
4.1,carflowV2I_1.0,898.79,8.0,270.0,4.1,0
4.1,carflowV2I_2.0,881.67,4.8,270.0,0.2,1
4.1,carflowV2I_3.0,740.49,1.6,270.0,4.1,2
4.2,carflow0_0.0,331.83,15.2,90.0,4.2,4
4.2,carflow0_1.0,318.03,15.2,90.0,4.2,4
4.2,carflow1_0.0,262.53,18.4,90.0,4.2,5
4.2,carflow1_1.0,229.93,18.4,90.0,4.2,5
4.2,carflow2_0.0,593.27,8.0,270.0,4.2,0
4.2,carflow2_1.0,604.37,8.0,270.0,4.2,0
4.2,carflow3_0.0,951.47,8.0,270.0,4.2,0
4.2,carflow3_1.0,960.07,8.0,270.0,4.2,0
4.2,carflow4_0.0,747.87,8.0,270.0,4.2,0
4.2,carflow4_1.0,774.37,8.0,270.0,4.2,0
4.2,carflow5_0.0,645.67,4.8,270.0,4.2,1
4.2,carflow5_1.0,656.87,4.8,270.0,4.2,1
4.2,carflow6_0.0,682.57,4.8,270.0,4.2,1
4.2,carflow6_1.0,695.37,4.8,270.0,4.2,1
4.2,carflow7_0.0,672.07,4.8,270.0,4.2,1
4.2,carflow7_1.0,702.74,4.8,270.0,0.3,1
4.2,carflowV2I_0.0,645.27,8.0,270.0,4.2,0
4.2,carflowV2I_1.0,898.37,8.0,270.0,4.2,0
4.2,carflowV2I_2.0,881.64,4.8,270.0,0.3,1
4.2,carflowV2I_3.0,740.07,1.6,270.0,4.2,2
4.3,carflow0_0.0,332.26,15.2,90.0,4.3,4
4.3,carflow0_1.0,318.46,15.2,90.0,4.3,4
4.3,carflow1_0.0,262.96,18.4,90.0,4.3,5
4.3,carflow1_1.0,230.36,18.4,90.0,4.3,5
4.3,carflow2_0.0,592.84,8.0,270.0,4.3,0
4.3,carflow2_1.0,603.94,8.0,270.0,4.3,0
4.3,carflow3_0.0,951.04,8.0,270.0,4.3,0
4.3,carflow3_1.0,959.64,8.0,270.0,4.3,0
4.3,carflow4_0.0,747.44,8.0,270.0,4.3,0
4.3,carflow4_1.0,773.94,8.0,270.0,4.3,0
4.3,carflow5_0.0,645.24,4.8,270.0,4.3,1
4.3,carflow5_1.0,656.44,4.8,270.0,4.3,1
4.3,carflow6_0.0,682.14,4.8,270.0,4.3,1
4.3,carflow6_1.0,694.94,4.8,270.0,4.3,1
4.3,carflow7_0.0,671.64,4.8,270.0,4.3,1
4.3,carflow7_1.0,702.7,4.8,270.0,0.4,1
4.3,carflowV2I_0.0,644.84,8.0,270.0,4.3,0
4.3,carflowV2I_1.0,897.94,8.0,270.0,4.3,0
4.3,carflowV2I_2.0,881.6,4.8,270.0,0.4,1
4.3,carflowV2I_3.0,739.64,1.6,270.0,4.3,2
4.4,carflow0_0.0,332.7,15.2,90.0,4.4,4
4.4,carflow0_1.0,318.9,15.2,90.0,4.4,4
4.4,carflow1_0.0,263.4,18.4,90.0,4.4,5
4.4,carflow1_1.0,230.8,18.4,90.0,4.4,5
4.4,carflow2_0.0,592.4,8.0,270.0,4.4,0
4.4,carflow2_1.0,603.5,8.0,270.0,4.4,0
4.4,carflow3_0.0,950.6,8.0,270.0,4.4,0
4.4,carflow3_1.0,959.2,8.0,270.0,4.4,0
4.4,carflow4_0.0,747.0,8.0,270.0,4.4,0
4.4,carflow4_1.0,773.5,8.0,270.0,4.4,0
4.4,carflow5_0.0,644.8,4.8,270.0,4.4,1
4.4,carflow5_1.0,656.0,4.8,270.0,4.4,1
4.4,carflow6_0.0,681.7,4.8,270.0,4.4,1
4.4,carflow6_1.0,694.5,4.8,270.0,4.4,1
4.4,carflow7_0.0,671.2,4.8,270.0,4.4,1
4.4,carflow7_1.0,702.65,4.8,270.0,0.5,1
4.4,carflowV2I_0.0,644.4,8.0,270.0,4.4,0
4.4,carflowV2I_1.0,897.5,8.0,270.0,4.4,0
4.4,carflowV2I_2.0,881.55,4.8,270.0,0.5,1
4.4,carflowV2I_3.0,739.2,1.6,270.0,4.4,2
4.5,carflow0_0.0,333.15,15.2,90.0,4.5,4
4.5,carflow0_1.0,319.35,15.2,90.0,4.5,4
4.5,carflow1_0.0,263.85,18.4,90.0,4.5,5
4.5,carflow1_1.0,231.25,18.4,90.0,4.5,5
4.5,carflow2_0.0,591.95,8.0,270.0,4.5,0
4.5,carflow2_1.0,603.05,8.0,270.0,4.5,0
4.5,carflow3_0.0,950.15,8.0,270.0,4.5,0
4.5,carflow3_1.0,958.75,8.0,270.0,4.5,0
4.5,carflow4_0.0,746.55,8.0,270.0,4.5,0
4.5,carflow4_1.0,773.05,8.0,270.0,4.5,0
4.5,carflow5_0.0,644.35,4.8,270.0,4.5,1
4.5,carflow5_1.0,655.55,4.8,270.0,4.5,1
4.5,carflow6_0.0,681.25,4.8,270.0,4.46,1
4.5,carflow6_1.0,694.05,4.8,270.0,4.5,1
4.5,carflow7_0.0,670.75,4.8,270.0,4.5,1
4.5,carflow7_1.0,702.59,4.8,270.0,0.6,1
4.5,carflowV2I_0.0,643.95,8.0,270.0,4.5,0
4.5,carflowV2I_1.0,897.05,8.0,270.0,4.5,0
4.5,carflowV2I_2.0,881.49,4.8,270.0,0.6,1
4.5,carflowV2I_3.0,738.75,1.6,270.0,4.5,2
4.6,carflow0_0.0,333.61,15.2,90.0,4.6,4
4.6,carflow0_1.0,319.81,15.2,90.0,4.6,4
4.6,carflow1_0.0,264.31,18.4,90.0,4.6,5
4.6,carflow1_1.0,231.71,18.4,90.0,4.6,5
4.6,carflow2_0.0,591.49,8.0,270.0,4.6,0
4.6,carflow2_1.0,602.59,8.0,270.0,4.6,0
4.6,carflow3_0.0,949.69,8.0,270.0,4.6,0
