time,id,x,y,angle,speed,lane
2.7,carflow0_0.0,5.1,-8.0,90.0,0.0,0
2.7,carflow0_1.0,13.07,-8.0,90.0,5.37,0
2.7,carflow1_0.0,5.12,-4.8,90.0,0.25,1
2.7,carflow1_1.0,13.54,-4.8,90.0,5.8,1
2.7,carflow2_0.0,5.12,-1.6,90.0,0.25,2
2.7,carflow2_1.0,13.61,-1.6,90.0,5.76,2
2.7,carflow3_0.0,194.87,1.6,270.0,0.25,3
2.7,carflow3_1.0,186.78,1.6,270.0,5.52,3
2.7,carflow4_0.0,194.87,4.8,270.0,0.25,4
2.7,carflow4_1.0,186.67,4.8,270.0,5.74,4
2.7,carflow5_0.0,194.87,8.0,270.0,0.25,5
2.7,carflow5_1.0,186.72,8.0,270.0,5.55,5
2.8,carflow0_0.0,5.13,-8.0,90.0,0.25,0
2.8,carflow0_1.0,13.63,-8.0,90.0,5.63,0
2.8,carflow1_0.0,5.17,-4.8,90.0,0.5,1
2.8,carflow1_1.0,14.14,-4.8,90.0,6.04,1
2.8,carflow2_0.0,5.17,-1.6,90.0,0.49,2
2.8,carflow2_1.0,14.2,-1.6,90.0,5.99,2
2.8,carflow3_0.0,194.83,1.6,270.0,0.49,3
2.8,carflow3_1.0,186.21,1.6,270.0,5.67,3
2.8,carflow4_0.0,194.82,4.8,270.0,0.51,4
2.8,carflow4_1.0,186.08,4.8,270.0,5.88,4
2.8,carflow5_0.0,194.82,8.0,270.0,0.5,5
2.8,carflow5_1.0,186.15,8.0,270.0,5.71,5
2.9,carflow0_0.0,5.17,-8.0,90.0,0.49,0
2.9,carflow0_1.0,14.21,-8.0,90.0,5.8,0
2.9,carflow1_0.0,5.25,-4.8,90.0,0.74,1
2.9,carflow1_1.0,14.77,-4.8,90.0,6.27,1
2.9,carflow2_0.0,5.25,-1.6,90.0,0.73,2
2.9,carflow2_1.0,14.82,-1.6,90.0,6.13,2
2.9,carflow3_0.0,194.75,1.6,270.0,0.75,3
2.9,carflow3_1.0,185.63,1.6,270.0,5.81,3
2.9,carflow4_0.0,194.75,4.8,270.0,0.74,4
2.9,carflow4_1.0,185.47,4.8,270.0,6.1,4
2.9,carflow5_0.0,194.75,8.0,270.0,0.75,5
2.9,carflow5_1.0,185.55,8.0,270.0,5.93,5
3.0,carflow0_0.0,5.25,-8.0,90.0,0.74,0
3.0,carflow0_1.0,14.81,-8.0,90.0,6.01,0
3.0,carflow1_0.0,5.35,-4.8,90.0,0.97,1
3.0,carflow1_1.0,15.41,-4.8,90.0,6.44,1
3.0,carflow2_0.0,5.34,-1.6,90.0,0.96,2
3.0,carflow2_1.0,15.45,-1.6,90.0,6.33,2
3.0,carflow3_0.0,194.65,1.6,270.0,0.97,3
3.0,carflow3_1.0,185.03,1.6,270.0,6.03,3
3.0,carflow4_0.0,194.65,4.8,270.0,0.99,4
3.0,carflow4_1.0,184.83,4.8,270.0,6.32,4
3.0,carflow5_0.0,194.65,8.0,270.0,0.98,5
3.0,carflow5_1.0,184.94,8.0,270.0,6.12,5
3.1,carflow0_0.0,5.35,-8.0,90.0,0.99,0
3.1,carflow0_1.0,15.44,-8.0,90.0,6.26,0
3.1,carflow1_0.0,5.47,-4.8,90.0,1.21,1
3.1,carflow1_1.0,16.08,-4.8,90.0,6.65,1
3.1,carflow2_0.0,5.46,-1.6,90.0,1.21,2
3.1,carflow2_1.0,16.11,-1.6,90.0,6.55,2
3.1,carflow3_0.0,194.53,1.6,270.0,1.19,3
3.1,carflow3_1.0,184.4,1.6,270.0,6.25,3
3.1,carflow4_0.0,194.53,4.8,270.0,1.24,4
3.1,carflow4_1.0,184.18,4.8,270.0,6.55,4
3.1,carflow5_0.0,194.53,8.0,270.0,1.22,5
3.1,carflow5_1.0,184.31,8.0,270.0,6.35,5
3.2,carflow0_0.0,5.47,-8.0,90.0,1.22,0
3.2,carflow0_1.0,16.09,-8.0,90.0,6.49,0
3.2,carflow1_0.0,5.61,-4.8,90.0,1.46,1
3.2,carflow1_1.0,16.77,-4.8,90.0,6.9,1
3.2,carflow2_0.0,5.6,-1.6,90.0,1.4,2
3.2,carflow2_1.0,16.78,-1.6,90.0,6.74,2
3.2,carflow3_0.0,194.4,1.6,270.0,1.39,3
3.2,carflow3_1.0,183.75,1.6,270.0,6.49,3
3.2,carflow4_0.0,194.38,4.8,270.0,1.44,4
3.2,carflow4_1.0,183.5,4.8,270.0,6.81,4
3.2,carflow5_0.0,194.38,8.0,270.0,1.45,5
3.2,carflow5_1.0,183.65,8.0,270.0,6.57,5
3.3,carflow0_0.0,5.61,-8.0,90.0,1.41,0
3.3,carflow0_1.0,16.76,-8.0,90.0,6.67,0
3.3,carflow1_0.0,5.78,-4.8,90.0,1.69,1
3.3,carflow1_1.0,17.48,-4.8,90.0,7.07,1
3.3,carflow2_0.0,5.76,-1.6,90.0,1.58,2
3.3,carflow2_1.0,17.47,-1.6,90.0,6.91,2
3.3,carflow3_0.0,194.24,1.6,270.0,1.58,3
3.3,carflow3_1.0,183.09,1.6,270.0,6.62,3
3.3,carflow4_0.0,194.22,4.8,270.0,1.62,4
3.3,carflow4_1.0,182.79,4.8,270.0,7.04,4
3.3,carflow5_0.0,194.22,8.0,270.0,1.62,5
3.3,carflow5_1.0,182.97,8.0,270.0,6.76,5
3.4,carflow0_0.0,5.77,-8.0,90.0,1.6,0
3.4,carflow0_1.0,17.44,-8.0,90.0,6.85,0
3.4,carflow1_0.0,5.97,-4.8,90.0,1.91,1
3.4,carflow1_1.0,18.2,-4.8,90.0,7.29,1
3.4,carflow2_0.0,5.94,-1.6,90.0,1.79,2
3.4,carflow2_1.0,18.18,-1.6,90.0,7.15,2
3.4,carflow3_0.0,194.06,1.6,270.0,1.8,3
3.4,carflow3_1.0,182.41,1.6,270.0,6.76,3
3.4,carflow4_0.0,194.03,4.8,270.0,1.88,4
3.4,carflow4_1.0,182.07,4.8,270.0,7.25,4
3.4,carflow5_0.0,194.04,8.0,270.0,1.8,5
3.4,carflow5_1.0,182.28,8.0,270.0,6.91,5
3.5,carflow0_0.0,5.96,-8.0,90.0,1.86,0
3.5,carflow0_1.0,18.14,-8.0,90.0,7.03,0
3.5,carflow1_0.0,6.18,-4.8,90.0,2.09,1
3.5,carflow1_1.0,18.95,-4.8,90.0,7.47,1
3.5,carflow2_0.0,6.14,-1.6,90.0,2.0,2
3.5,carflow2_1.0,18.92,-1.6,90.0,7.39,2
3.5,carflow3_0.0,193.86,1.6,270.0,2.01,3
3.5,carflow3_1.0,181.71,1.6,270.0,7.02,3
3.5,carflow4_0.0,193.83,4.8,270.0,2.06,4
3.5,carflow4_1.0,181.32,4.8,270.0,7.46,4
3.5,carflow5_0.0,193.84,8.0,270.0,1.99,5
3.5,carflow5_1.0,181.58,8.0,270.0,7.04,5
3.6,carflow0_0.0,6.16,-8.0,90.0,2.02,0
3.6,carflow0_1.0,18.87,-8.0,90.0,7.22,0
3.6,carflow1_0.0,6.41,-4.8,90.0,2.3,1
3.6,carflow1_1.0,19.72,-4.8,90.0,7.65,1
3.6,carflow2_0.0,6.36,-1.6,90.0,2.16,2
3.6,carflow2_1.0,19.68,-1.6,90.0,7.57,2
3.6,carflow3_0.0,193.63,1.6,270.0,2.27,3
3.6,carflow3_1.0,180.99,1.6,270.0,7.2,3
3.6,carflow4_0.0,193.6,4.8,270.0,2.28,4
3.6,carflow4_1.0,180.56,4.8,270.0,7.67,4
3.6,carflow5_0.0,193.62,8.0,270.0,2.22,5
3.6,carflow5_1.0,180.86,8.0,270.0,7.21,5
3.7,carflow0_0.0,6.38,-8.0,90.0,2.22,0
3.7,carflow0_1.0,19.6,-8.0,90.0,7.36,0
3.7,carflow1_0.0,6.66,-4.8,90.0,2.5,1
3.7,carflow1_1.0,20.5,-4.8,90.0,7.8,1
3.7,carflow2_0.0,6.59,-1.6,90.0,2.32,2
3.7,carflow2_1.0,20.46,-1.6,90.0,7.83,2
3.7,carflow3_0.0,193.38,1.6,270.0,2.47,3
3.7,carflow3_1.0,180.26,1.6,270.0,7.36,3
3.7,carflow4_0.0,193.35,4.8,270.0,2.51,4
3.7,carflow4_1.0,179.77,4.8,270.0,7.84,4
3.7,carflow5_0.0,193.37,8.0,270.0,2.46,5
3.7,carflow5_1.0,180.11,8.0,270.0,7.44,5
3.8,carflow0_0.0,6.63,-8.0,90.0,2.48,0
