time,id,x,y,angle,speed,lane
0.0,carflow0_0.0,-925.4,12.0,90.0,0.0,3
0.0,carflow0_1.0,-941.4,12.0,90.0,0.0,3
0.0,carflow1_0.0,-928.7,15.2,90.0,0.0,4
0.0,carflow1_1.0,-952.3,15.2,90.0,0.0,4
0.0,carflow2_0.0,-916.3,18.4,90.0,0.0,5
0.0,carflow2_1.0,-945.8,18.4,90.0,0.0,5
0.0,carflow3_0.0,652.3,4.8,270.0,0.0,1
0.0,carflow3_1.0,662.7,4.8,270.0,0.0,1
0.0,carflowV2I_0.0,-986.9,12.0,90.0,0.0,3
0.0,carflowV2I_1.0,-930.4,18.4,90.0,0.0,5
0.0,carflowV2I_2.0,724.4,4.8,270.0,0.0,1
0.0,carflowV2I_3.0,762.4,1.6,270.0,0.0,2
0.1,carflow0_0.0,-925.39,12.0,90.0,0.1,3
0.1,carflow0_1.0,-941.39,12.0,90.0,0.1,3
0.1,carflow1_0.0,-928.69,15.2,90.0,0.1,4
0.1,carflow1_1.0,-952.29,15.2,90.0,0.1,4
0.1,carflow2_0.0,-916.29,18.4,90.0,0.1,5
0.1,carflow2_1.0,-945.79,18.4,90.0,0.1,5
0.1,carflow3_0.0,652.29,4.8,270.0,0.1,1
0.1,carflow3_1.0,662.69,4.8,270.0,0.1,1
0.1,carflowV2I_0.0,-986.89,12.0,90.0,0.1,3
0.1,carflowV2I_1.0,-930.39,18.4,90.0,0.1,5
0.1,carflowV2I_2.0,724.39,4.8,270.0,0.1,1
0.1,carflowV2I_3.0,762.39,1.6,270.0,0.1,2
0.2,carflow0_0.0,-925.37,12.0,90.0,0.2,3
0.2,carflow0_1.0,-941.37,12.0,90.0,0.2,3
0.2,carflow1_0.0,-928.67,15.2,90.0,0.2,4
0.2,carflow1_1.0,-952.27,15.2,90.0,0.2,4
0.2,carflow2_0.0,-916.27,18.4,90.0,0.2,5
0.2,carflow2_1.0,-945.77,18.4,90.0,0.2,5
0.2,carflow3_0.0,652.27,4.8,270.0,0.2,1
0.2,carflow3_1.0,662.67,4.8,270.0,0.2,1
0.2,carflowV2I_0.0,-986.87,12.0,90.0,0.2,3
0.2,carflowV2I_1.0,-930.37,18.4,90.0,0.2,5
0.2,carflowV2I_2.0,724.37,4.8,270.0,0.2,1
0.2,carflowV2I_3.0,762.37,1.6,270.0,0.2,2
0.3,carflow0_0.0,-925.34,12.0,90.0,0.3,3
0.3,carflow0_1.0,-941.34,12.0,90.0,0.3,3
0.3,carflow1_0.0,-928.64,15.2,90.0,0.3,4
0.3,carflow1_1.0,-952.24,15.2,90.0,0.3,4
0.3,carflow2_0.0,-916.24,18.4,90.0,0.3,5
0.3,carflow2_1.0,-945.74,18.4,90.0,0.3,5
0.3,carflow3_0.0,652.24,4.8,270.0,0.3,1
0.3,carflow3_1.0,662.64,4.8,270.0,0.3,1
0.3,carflowV2I_0.0,-986.84,12.0,90.0,0.3,3
0.3,carflowV2I_1.0,-930.34,18.4,90.0,0.3,5
0.3,carflowV2I_2.0,724.34,4.8,270.0,0.3,1
0.3,carflowV2I_3.0,762.34,1.6,270.0,0.3,2
0.4,carflow0_0.0,-925.3,12.0,90.0,0.4,3
0.4,carflow0_1.0,-941.3,12.0,90.0,0.4,3
0.4,carflow1_0.0,-928.6,15.2,90.0,0.4,4
0.4,carflow1_1.0,-952.2,15.2,90.0,0.4,4
0.4,carflow2_0.0,-916.2,18.4,90.0,0.4,5
0.4,carflow2_1.0,-945.7,18.4,90.0,0.4,5
0.4,carflow3_0.0,652.2,4.8,270.0,0.4,1
0.4,carflow3_1.0,662.6,4.8,270.0,0.4,1
0.4,carflowV2I_0.0,-986.8,12.0,90.0,0.4,3
0.4,carflowV2I_1.0,-930.3,18.4,90.0,0.4,5
0.4,carflowV2I_2.0,724.3,4.8,270.0,0.4,1
0.4,carflowV2I_3.0,762.3,1.6,270.0,0.4,2
0.5,carflow0_0.0,-925.25,12.0,90.0,0.5,3
0.5,carflow0_1.0,-941.25,12.0,90.0,0.5,3
0.5,carflow1_0.0,-928.55,15.2,90.0,0.5,4
0.5,carflow1_1.0,-952.15,15.2,90.0,0.5,4
0.5,carflow2_0.0,-916.15,18.4,90.0,0.5,5
0.5,carflow2_1.0,-945.65,18.4,90.0,0.5,5
0.5,carflow3_0.0,652.15,4.8,270.0,0.5,1
0.5,carflow3_1.0,662.55,4.8,270.0,0.5,1
0.5,carflowV2I_0.0,-986.75,12.0,90.0,0.5,3
0.5,carflowV2I_1.0,-930.25,18.4,90.0,0.5,5
0.5,carflowV2I_2.0,724.25,4.8,270.0,0.5,1
0.5,carflowV2I_3.0,762.25,1.6,270.0,0.5,2
0.6,carflow0_0.0,-925.19,12.0,90.0,0.6,3
0.6,carflow0_1.0,-941.19,12.0,90.0,0.6,3
0.6,carflow1_0.0,-928.49,15.2,90.0,0.6,4
0.6,carflow1_1.0,-952.09,15.2,90.0,0.6,4
0.6,carflow2_0.0,-916.09,18.4,90.0,0.6,5
0.6,carflow2_1.0,-945.59,18.4,90.0,0.6,5
0.6,carflow3_0.0,652.09,4.8,270.0,0.6,1
0.6,carflow3_1.0,662.49,4.8,270.0,0.6,1
0.6,carflowV2I_0.0,-986.69,12.0,90.0,0.6,3
0.6,carflowV2I_1.0,-930.19,18.4,90.0,0.6,5
0.6,carflowV2I_2.0,724.19,4.8,270.0,0.6,1
0.6,carflowV2I_3.0,762.19,1.6,270.0,0.6,2
0.7,carflow0_0.0,-925.12,12.0,90.0,0.7,3
0.7,carflow0_1.0,-941.12,12.0,90.0,0.7,3
0.7,carflow1_0.0,-928.42,15.2,90.0,0.7,4
0.7,carflow1_1.0,-952.02,15.2,90.0,0.7,4
0.7,carflow2_0.0,-916.02,18.4,90.0,0.7,5
0.7,carflow2_1.0,-945.52,18.4,90.0,0.7,5
0.7,carflow3_0.0,652.02,4.8,270.0,0.7,1
0.7,carflow3_1.0,662.42,4.8,270.0,0.7,1
0.7,carflowV2I_0.0,-986.62,12.0,90.0,0.7,3
0.7,carflowV2I_1.0,-930.12,18.4,90.0,0.7,5
0.7,carflowV2I_2.0,724.12,4.8,270.0,0.7,1
0.7,carflowV2I_3.0,762.12,1.6,270.0,0.7,2
0.8,carflow0_0.0,-925.04,12.0,90.0,0.8,3
0.8,carflow0_1.0,-941.04,12.0,90.0,0.8,3
0.8,carflow1_0.0,-928.34,15.2,90.0,0.8,4
0.8,carflow1_1.0,-951.94,15.2,90.0,0.8,4
0.8,carflow2_0.0,-915.94,18.4,90.0,0.8,5
0.8,carflow2_1.0,-945.44,18.4,90.0,0.8,5
0.8,carflow3_0.0,651.94,4.8,270.0,0.8,1
0.8,carflow3_1.0,662.34,4.8,270.0,0.8,1
0.8,carflowV2I_0.0,-986.54,12.0,90.0,0.8,3
0.8,carflowV2I_1.0,-930.04,18.4,90.0,0.8,5
0.8,carflowV2I_2.0,724.04,4.8,270.0,0.8,1
