time,id,x,y,angle,speed,lane
5.4,carflow0_0.0,315.35,15.2,90.0,5.4,4
5.4,carflow0_1.0,275.95,15.2,90.0,5.4,4
5.4,carflow1_0.0,690.05,8.0,270.0,5.4,0
5.4,carflow1_1.0,719.45,8.0,270.0,5.4,0
5.4,carflow2_0.0,803.45,4.8,270.0,5.4,1
5.4,carflow2_1.0,815.15,4.8,270.0,5.4,1
5.4,carflow3_0.0,730.15,4.8,270.0,5.4,1
5.4,carflow3_1.0,753.35,4.8,270.0,5.4,1
5.4,carflowV2I_0.0,378.45,12.0,90.0,5.4,3
5.4,carflowV2I_1.0,342.95,15.2,90.0,5.4,4
5.4,carflowV2I_2.0,821.6,4.8,270.0,0.0,1
5.4,carflowV2I_3.0,590.55,4.8,270.0,5.4,1
5.5,carflow0_0.0,315.9,15.2,90.0,5.5,4
5.5,carflow0_1.0,276.5,15.2,90.0,5.5,4
5.5,carflow1_0.0,689.5,8.0,270.0,5.5,0
5.5,carflow1_1.0,718.9,8.0,270.0,5.5,0
5.5,carflow2_0.0,802.9,4.8,270.0,5.5,1
5.5,carflow2_1.0,814.6,4.8,270.0,5.5,1
5.5,carflow3_0.0,729.6,4.8,270.0,5.5,1
5.5,carflow3_1.0,752.8,4.8,270.0,5.5,1
5.5,carflowV2I_0.0,379.0,12.0,90.0,5.5,3
5.5,carflowV2I_1.0,343.5,15.2,90.0,5.5,4
5.5,carflowV2I_2.0,821.59,4.8,270.0,0.1,1
5.5,carflowV2I_3.0,590.0,4.8,270.0,5.5,1
5.6,carflow0_0.0,316.46,15.2,90.0,5.6,4
5.6,carflow0_1.0,277.06,15.2,90.0,5.6,4
5.6,carflow1_0.0,688.94,8.0,270.0,5.6,0
5.6,carflow1_1.0,718.34,8.0,270.0,5.6,0
5.6,carflow2_0.0,802.34,4.8,270.0,5.6,1
5.6,carflow2_1.0,814.04,4.8,270.0,5.6,1
5.6,carflow3_0.0,729.04,4.8,270.0,5.6,1
5.6,carflow3_1.0,752.24,4.8,270.0,5.6,1
5.6,carflowV2I_0.0,379.56,12.0,90.0,5.6,3
5.6,carflowV2I_1.0,344.06,15.2,90.0,5.6,4
5.6,carflowV2I_2.0,821.57,4.8,270.0,0.2,1
5.6,carflowV2I_3.0,589.44,4.8,270.0,5.6,1
5.7,carflow0_0.0,317.03,15.2,90.0,5.7,4
5.7,carflow0_1.0,277.63,15.2,90.0,5.7,4
5.7,carflow1_0.0,688.37,8.0,270.0,5.7,0
5.7,carflow1_1.0,717.77,8.0,270.0,5.7,0
5.7,carflow2_0.0,801.77,4.8,270.0,5.7,1
5.7,carflow2_1.0,813.47,4.8,270.0,5.7,1
5.7,carflow3_0.0,728.47,4.8,270.0,5.7,1
5.7,carflow3_1.0,751.67,4.8,270.0,5.7,1
5.7,carflowV2I_0.0,380.13,12.0,90.0,5.7,3
5.7,carflowV2I_1.0,344.63,15.2,90.0,5.7,4
5.7,carflowV2I_2.0,821.54,4.8,270.0,0.3,1
5.7,carflowV2I_3.0,588.87,4.8,270.0,5.7,1
5.8,carflow0_0.0,317.61,15.2,90.0,5.8,4
5.8,carflow0_1.0,278.21,15.2,90.0,5.8,4
5.8,carflow1_0.0,687.79,8.0,270.0,5.8,0
5.8,carflow1_1.0,717.19,8.0,270.0,5.8,0
5.8,carflow2_0.0,801.19,4.8,270.0,5.8,1
5.8,carflow2_1.0,812.89,4.8,270.0,5.8,1
5.8,carflow3_0.0,727.89,4.8,270.0,5.8,1
5.8,carflow3_1.0,751.09,4.8,270.0,5.8,1
5.8,carflowV2I_0.0,380.71,12.0,90.0,5.8,3
5.8,carflowV2I_1.0,345.21,15.2,90.0,5.8,4
5.8,carflowV2I_2.0,821.5,4.8,270.0,0.4,1
5.8,carflowV2I_3.0,588.29,4.8,270.0,5.8,1
5.9,carflow0_0.0,318.2,15.2,90.0,5.9,4
5.9,carflow0_1.0,278.8,15.2,90.0,5.9,4
5.9,carflow1_0.0,687.2,8.0,270.0,5.9,0
5.9,carflow1_1.0,716.6,8.0,270.0,5.9,0
5.9,carflow2_0.0,800.6,4.8,270.0,5.9,1
5.9,carflow2_1.0,812.3,4.8,270.0,5.9,1
5.9,carflow3_0.0,727.3,4.8,270.0,5.9,1
5.9,carflow3_1.0,750.5,4.8,270.0,5.9,1
5.9,carflowV2I_0.0,381.3,12.0,90.0,5.9,3
